step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,kic-document-9471,0.5098008089228173,0.4483288498435752,1.0800000000000003,,"What did Isla Vista look like?  ","While this map is from the early 2000s, it gives us a great starting point for understanding where businesses stood and examining what made them successful. The stars indicate 6 particularly interesting businesses with a rich history in Isla Vista
",,,,,,,,
2,kic-document-9471,0.6983974628192546,0.4219662068124462,2.8414285714285716,,"What is one of the oldest businesses in Isla Vista?  ","Location #1: Woodstock's Pizza 
One of the longest-standing businesses in Isla Vista, Woodstock's Pizza opened up shop in 1982 and has sustained business in the area since then, along with 8 other locations along the West Coast. People attribute its sustained residency to the business's laid-back aesthetic and anti-corporation feel, a key element of success for longevity in Isla Vista 
",,Learn more,iv-map-learn-more.md,,,,,
3,kic-document-9471,0.5924094919913583,0.1713274506927427,2.9,,"What keeps an Isla Vista business thrive? ","Although Isla Vista has had a plethora of Mexican restaurants occupy its commercial spaces, Freebirds' build-your-own model has been attributed as one of its key features for long-term success. ","Colorful map of different landmarks around Isla Vista and UC Santa Barbara 
","Late Night Bite ",iv-map-step3-layer1.md,,,,,
4,kic-document-9471,0.7662504172301694,0.2708147705817327,2.862820512820513,,"Where did students go for school supplies? ","Although the store was opened in 1970, students utilized the store to print out papers and purchase stationery supplies, a necessity before the advent of technology. ","Looking closer ",Learn more,iv-map-supplies-and-more.md,,,,,
5,kic-document-9471,0.5677679350540993,0.4872742576993043,2.9,,What IV building has been around the longest?,"The building(s) has lived a myriad of lives before becoming what we now know as Embarcadero Hall. Starting out as a Bank of America before being burned down as part of a student protest, Embarcadero Hall was home to a concert venue known as ""The Graduate"" and eventually a club called ""The Anaconda""",,Learn more,iv-map-step5-layer1.md,Go deeper,iv-map-go-deeper.md,,,
6,kic-document-9471,0.3477033628726522,0.3125645672305162,2.9,,What were some of the main food staples of Isla Vista in the 1990s?,"One of the main staples of Isla Vista was a restaurant called Silvergreens. It prioritized giving customers the fast food experience with a health-conscious menu, displaying the community's want for both convenience and mindful eating. ",,Learn more,iv-map-step6-layer1.md,,,,,
7,kic-document-9471,0.41458055609071226,0.14742191428291576,2.9,,"Why are there so many coffee shops in Isla Vista? ","6560 Pardall Road has housed many coffee shops, from Kozy Coffee today to Java Jones during the 1990s. Although this is not the only location in Isla Vista that has been home to coffee shops, its placement along Pardall Road makes it a particular hotspot for student enjoyment. ",,Learn more,iv-map-step7-layer1.md,,,,,
